"","lambda","par","df","r2","aicc","bic"
"seg966",2.48526920987353e-05,620,620,0.684762499084615,-14304.9430965038,6703.26224146376
"seg967",2.46246142188579e-05,621,621,0.684765769775482,-14302.6752787528,6712.23770171693
"seg968",2.43986294530416e-05,622,622,0.684778848886794,-14300.6557486297,6721.17796537306
"seg969",2.41747185923808e-05,622,622,0.684782118084417,-14300.7387180514,6721.16623416394
"seg970",2.39528626042537e-05,622,622,0.684795189035208,-14301.0704561297,6721.11933028267
"seg971",2.37330426307044e-05,622,622,0.684798455514517,-14301.1533608601,6721.10760882797
"seg972",2.351523998684e-05,622,622,0.684811513133884,-14301.48477776,6721.06075278526
"seg973",2.32994361592426e-05,622,622,0.684814775655628,-14301.5675863337,6721.04904553191
"seg974",2.30856128043953e-05,623,623,0.684827815205314,-14299.5464660327,6729.98945115122
"seg975",2.28737517471231e-05,623,623,0.684831072644096,-14299.6291498678,6729.9777621376
"seg976",2.26638349790482e-05,624,624,0.684844089697905,-14297.6068377838,6738.91824848125
"seg977",2.24558446570591e-05,625,625,0.684847341197016,-14295.3360034405,6747.89377760225
"seg978",2.22497631017937e-05,626,626,0.684860333687001,-14293.3118083554,6756.83435209089
"seg979",2.2045572796137e-05,626,626,0.684863578595512,-14293.3941826311,6756.82270804096
"seg980",2.18432563837318e-05,626,626,0.68486683141628,-14293.4767586162,6756.81103559865
"seg981",2.16427966675036e-05,626,626,0.684876588475271,-14293.72445606,6756.77602330737
"seg982",2.14441766081985e-05,626,626,0.684879840447977,-14293.8070139245,6756.76435390824
"seg983",2.12473793229352e-05,627,627,0.684883099422826,-14291.5351017238,6765.73985620325
"seg984",2.10523880837699e-05,627,627,0.684886364903689,-14291.6180042346,6765.72813833137
"seg985",2.08591863162741e-05,627,627,0.68488963660512,-14291.7010655319,6765.71639813757
"seg986",2.06677575981263e-05,627,627,0.684892914261959,-14291.7842788886,6765.70463657335
"seg987",2.04780856577154e-05,627,627,0.68489619761719,-14291.8676377843,6765.69285456097
"seg988",2.02901543727582e-05,627,627,0.684899486418094,-14291.9511358073,6765.68105300732
"seg989",2.01039477689288e-05,628,628,0.684902780548284,-14289.6794824284,6774.65642915068
"seg990",1.99194500185005e-05,628,628,0.684906079805557,-14289.7632476752,6774.64459007532
"seg991",1.97366454390008e-05,629,629,0.684909383916719,-14287.491210303,6783.6199304029
"seg992",1.95555184918783e-05,629,629,0.68491269262056,-14287.5752171517,6783.60805742942
"seg993",1.93760537811817e-05,630,630,0.684916005660605,-14285.3027688293,6792.58336571654
"seg994",1.91982360522513e-05,630,630,0.684919322801294,-14285.3869916578,6792.57146246822
"seg995",1.90220501904224e-05,631,631,0.684922643821282,-14283.1141080451,6801.54674212006
"seg996",1.88474812197404e-05,631,631,0.684925968515362,-14283.198524435,6801.53481176711
"seg997",1.86745143016878e-05,631,631,0.684929296661608,-14283.2830293702,6801.52286902638
"seg998",1.85031347339231e-05,631,631,0.684932628046058,-14283.3676174205,6801.51091466566
"seg999",1.8333327949031e-05,631,631,0.684935962461302,-14283.4522833221,6801.49894942922
"seg1000",1.81650795132841e-05,631,631,0.684939299705761,-14283.5370219589,6801.48697404041
